aX,aY,aZ,gX,gY,gZ
-0.303,-0.414,0.854,-1.038,-3.662,12.512
-0.321,-0.393,0.854,-5.249,-5.249,16.968
-0.314,-0.367,0.849,-6.775,-7.080,19.409
-0.327,-0.366,0.849,-5.371,-7.568,20.386
-0.351,-0.379,0.877,-4.333,-8.240,22.034
-0.387,-0.396,0.917,-1.526,-9.949,25.146
-0.404,-0.390,0.968,3.235,-11.108,27.893
-0.377,-0.399,0.980,9.460,-10.742,28.931
-0.353,-0.392,1.000,14.099,-8.972,30.212
-0.331,-0.356,1.000,17.761,-8.240,32.959
-0.312,-0.320,0.999,17.517,-7.935,34.302
-0.315,-0.314,0.964,9.827,-6.592,34.058
-0.348,-0.343,0.947,-7.080,-5.798,35.400
-0.400,-0.383,0.934,-29.358,-5.798,39.429
-0.457,-0.422,0.943,-47.119,-5.981,43.396
-0.513,-0.466,0.993,-52.246,-4.456,46.997
-0.551,-0.484,1.038,-45.044,-0.793,50.781
-0.546,-0.470,1.056,-28.320,4.883,54.321
-0.539,-0.417,1.086,-7.935,12.085,57.556
-0.498,-0.341,1.078,9.705,17.456,58.899
-0.387,-0.263,1.036,20.691,19.409,58.105
-0.300,-0.221,0.981,17.944,19.287,56.213
-0.265,-0.219,0.922,0.732,19.714,54.688
-0.281,-0.233,0.900,-23.010,20.142,53.223
-0.309,-0.251,0.889,-44.067,20.081,51.758
-0.342,-0.280,0.902,-58.838,20.691,49.500
-0.400,-0.304,0.949,-65.613,21.240,47.913
-0.427,-0.327,0.993,-59.631,23.682,47.119
-0.396,-0.328,1.006,-43.030,26.489,46.387
-0.341,-0.320,1.003,-20.996,29.602,47.119
-0.252,-0.307,0.986,0.854,28.442,49.500
-0.158,-0.280,0.977,13.062,27.161,52.307
-0.116,-0.244,0.987,15.198,27.832,56.274
-0.083,-0.203,0.986,12.024,29.175,59.265
-0.069,-0.174,0.976,4.517,32.288,59.021
-0.093,-0.138,0.987,-4.395,36.804,57.617
-0.091,-0.114,0.978,-9.033,39.673,55.115
-0.046,-0.095,0.976,-8.545,43.579,50.781
0.004,-0.090,0.951,-7.690,47.852,45.532
0.072,-0.100,0.921,-7.874,50.720,41.016
0.115,-0.119,0.893,-10.010,51.514,38.147
