aX,aY,aZ,gX,gY,gZ
0.623,-0.433,1.265,6.531,2.136,4.761
0.605,-0.418,1.192,-0.977,14.343,9.827
0.582,-0.371,1.107,-5.066,24.658,15.442
0.576,-0.315,1.027,-6.592,32.898,19.897
0.563,-0.251,0.953,-5.493,39.429,23.315
0.548,-0.188,0.899,-4.395,44.250,25.513
0.532,-0.145,0.883,-4.517,46.204,26.611
0.510,-0.116,0.909,-5.554,46.387,26.794
0.494,-0.124,0.978,-6.470,46.265,25.635
0.490,-0.133,1.078,-6.287,45.715,23.865
0.499,-0.147,1.181,-6.287,46.753,22.095
0.517,-0.158,1.235,-7.996,50.171,19.592
0.536,-0.160,1.239,-11.658,56.458,17.517
0.548,-0.179,1.192,-17.578,63.599,16.479
0.581,-0.216,1.123,-22.827,71.228,16.235
0.608,-0.219,1.030,-22.583,79.529,17.944
0.610,-0.200,0.918,-18.677,88.074,20.203
0.603,-0.172,0.808,-14.954,93.933,22.095
0.585,-0.135,0.717,-13.733,96.375,23.315
0.574,-0.124,0.668,-15.564,93.994,22.827
0.589,-0.128,0.665,-18.188,88.867,20.569
0.615,-0.141,0.676,-20.264,83.862,17.944
0.610,-0.166,0.699,-21.301,80.505,15.686
0.633,-0.173,0.705,-21.667,77.820,13.794
0.649,-0.187,0.720,-21.118,76.782,12.146
0.657,-0.209,0.716,-21.729,76.416,10.925
0.682,-0.226,0.712,-20.691,77.148,11.108
0.695,-0.226,0.706,-18.494,80.811,13.550
0.699,-0.203,0.686,-17.334,83.374,17.517
0.698,-0.150,0.657,-16.724,85.205,22.156
0.665,-0.092,0.616,-15.930,87.341,25.391
0.634,-0.053,0.590,-15.625,86.975,25.452
0.642,-0.044,0.587,-18.066,83.923,22.949
0.628,-0.060,0.621,-25.269,80.505,20.386
0.643,-0.072,0.665,-29.663,76.477,17.151
0.657,-0.079,0.707,-30.762,74.951,14.099
0.661,-0.077,0.733,-30.029,76.111,10.742
0.684,-0.095,0.727,-27.039,80.261,7.202
0.701,-0.114,0.708,-23.254,85.938,5.920
0.704,-0.124,0.706,-18.250,92.590,6.592
0.701,-0.115,0.689,-15.198,99.548,10.498
0.689,-0.083,0.682,-16.418,104.980,15.869
0.666,-0.056,0.666,-21.057,109.131,19.226
0.649,-0.045,0.631,-26.184,113.586,19.775
